Time,QR Code,Result
2025-10-08 09:05:51,DLT_FFB0412EN-00J7Y_1092676-01_282900,PASS
2025-10-08 09:19:27,DLT_FFB0412EN-00J7Y_1092676-01_282900,PASS
2025-10-08 09:41:14,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 09:58:50,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 10:09:20,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 10:22:04,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 10:22:25,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:22:34,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 10:22:43,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 10:23:16,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:23:50,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:25:01,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:25:21,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:25:49,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:25:57,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 10:27:16,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:37:22,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:38:34,DLT_FFB0412EN-00J7Y_1092676-01_282900026,PASS
2025-10-08 10:46:33,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:47:08,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-08 10:47:50,DLT_FFB0412EN-00J7Y_1092676-01_320600602,FAIL
2025-10-08 10:52:42,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 11:09:01,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 11:09:20,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 11:19:55,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 11:20:16,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 11:20:37,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 12:18:31,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 12:19:25,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 13:53:52,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-08 13:54:18,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-09 08:33:46,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-09 08:34:48,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-09 08:34:52,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-09 08:34:59,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-09 09:10:56,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-09 09:11:24,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-09 09:11:49,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-09 09:12:18,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
